SPAWN EXTRACTION REPORT
======================================================================

Graph Points: 5345 extracted from original game graph

Only in original (3295):
  DV_zone_mine_gravitational (section=zone_mine_gravitational_average, gvid=1435, level=l04_darkvalley)
  red_physic_object_0007 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0008 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0009 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0010 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0011 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0012 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0013 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0014 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0015 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0016 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0017 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0018 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0019 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0020 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0021 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0022 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0023 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0024 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_physic_object_0025 (section=physic_object, gvid=2747, level=l10_red_forest)
  red_psy_dog_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_ambush_attack_line (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_ambush_attack_line_1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_ambush_attack_line_2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_ambush_wait_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_blow_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_bounty_hunters_spawn_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_bounty_hunters_spawn_restr_0000 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_bridge_look (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_patricle_1_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_patricle_2_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_patricle_3_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_patricle_4_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_patricle_5_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_scene_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_strelok_spawn_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_pursuit_track_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_q10_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q1_t_l (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q2_t_a (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q3_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q4_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q5_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q6_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q7_t_a (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q8_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_q9_n (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_quest_line (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_quest_line_2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_recover_item_2_spawn (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_signal_rocket_bridge (section=lights_signal_light, gvid=2747, level=l10_red_forest)
  red_signal_rocket_restrictor (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_1 (section=smart_terrain, gvid=2769, level=l10_red_forest)
  red_smart_terrain_3_1_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_1_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_1_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_1_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_1_campfire_1 (section=campfire, gvid=2769, level=l10_red_forest)
  red_smart_terrain_3_1_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2 (section=smart_terrain, gvid=2772, level=l10_red_forest)
  red_smart_terrain_3_2_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_campfire_1 (section=campfire, gvid=2838, level=l10_red_forest)
  red_smart_terrain_3_2_campfire_2 (section=campfire, gvid=2772, level=l10_red_forest)
  red_smart_terrain_3_2_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_job_manadger (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_mechanic_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_surge_hide_a1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_undeground_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_2_undeground_restr_2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_3 (section=smart_terrain, gvid=2765, level=l10_red_forest)
  red_smart_terrain_3_3_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_3_3_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_2 (section=smart_terrain, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_animpoint_kamp1 (section=smart_cover, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_animpoint_kamp2 (section=smart_cover, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_animpoint_kamp4 (section=smart_cover, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_animpoint_kamp5 (section=smart_cover, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_2_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_2_camp (section=camp_zone, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_campfire_1 (section=campfire, gvid=2768, level=l10_red_forest)
  red_smart_terrain_4_2_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_2_surge_hide_a1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_2_surge_hide_a2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_3 (section=smart_terrain, gvid=2763, level=l10_red_forest)
  red_smart_terrain_4_3_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_3_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_5 (section=smart_terrain, gvid=2760, level=l10_red_forest)
  red_smart_terrain_4_5_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_5_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_5_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_4_5_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_5_5 (section=smart_terrain, gvid=2840, level=l10_red_forest)
  red_smart_terrain_5_5_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_5_5_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_5_5_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_5_6 (section=smart_terrain, gvid=2759, level=l10_red_forest)
  red_smart_terrain_5_6_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_5_6_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3 (section=smart_terrain, gvid=2773, level=l10_red_forest)
  red_smart_terrain_6_3_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_anomal_zone_2 (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_campfire_1 (section=campfire, gvid=2773, level=l10_red_forest)
  red_smart_terrain_6_3_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_job_manadger (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_3_surge_hide_a1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_6 (section=smart_terrain, gvid=2756, level=l10_red_forest)
  red_smart_terrain_6_6_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_6_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_6_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_6_6_campfire_1 (section=campfire, gvid=2756, level=l10_red_forest)
  red_smart_terrain_6_6_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_bridge (section=smart_terrain, gvid=2841, level=l10_red_forest)
  red_smart_terrain_bridge_box (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_smart_terrain_bridge_campfire_1 (section=campfire, gvid=2792, level=l10_red_forest)
  red_smart_terrain_bridge_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_bridge_spot (section=space_restrictor, gvid=2841, level=l10_red_forest)
  red_smart_terrain_bridge_surge_hide_a1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_bridge_surge_hide_a2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_central_mine_spot (section=space_restrictor, gvid=2801, level=l10_red_forest)
  red_smart_terrain_crap_spot (section=space_restrictor, gvid=2756, level=l10_red_forest)
  red_smart_terrain_dark_yar_spot (section=space_restrictor, gvid=2842, level=l10_red_forest)
  red_smart_terrain_house_lesnik_spot (section=space_restrictor, gvid=2812, level=l10_red_forest)
  red_smart_terrain_monsters (section=smart_terrain, gvid=2842, level=l10_red_forest)
  red_smart_terrain_monsters_2 (section=smart_terrain, gvid=2801, level=l10_red_forest)
  red_smart_terrain_monsters_2_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_monsters_3 (section=smart_terrain, gvid=2843, level=l10_red_forest)
  red_smart_terrain_monsters_anomal_zone (section=anomal_zone, gvid=2747, level=l10_red_forest)
  red_smart_terrain_monsters_anomaly_spot (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_monsters_attack (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_smart_terrain_monsters_defence (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restricor_to_jupiter (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_0000 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_0001 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_0003 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_to_limansk (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_to_military_1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_space_restrictor_to_radar_1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_stalker_artefact_hunter_spawn_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_teleport_restr_1 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_teleport_restr_2 (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_treasure_1 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_10 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_11 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_12 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_13 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_14 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_15 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_16 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_17 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_18 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_19 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_2 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_20 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_21 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_22 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_23 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_24 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_3 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_4 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_5 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_6 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_7 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_8 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_treasure_9 (section=inventory_box, gvid=2747, level=l10_red_forest)
  red_tushkano_spawn_restr (section=space_restrictor, gvid=2747, level=l10_red_forest)
  red_vedro_01 (section=vedro_01, gvid=2747, level=l10_red_forest)
  red_zone_field_acidic_strong (section=zone_field_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_field_acidic_strong_0000 (section=zone_field_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_field_acidic_strong_0001 (section=zone_field_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong_0000 (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong_0001 (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong_0002 (section=zone_mine_acidic_strong, gvid=2790, level=l10_red_forest)
  red_zone_mine_acidic_strong_0003 (section=zone_mine_acidic_strong, gvid=2841, level=l10_red_forest)
  red_zone_mine_acidic_strong_0004 (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong_0005 (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_strong_0006 (section=zone_mine_acidic_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak_0000 (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak_0001 (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak_0002 (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak_0004 (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_acidic_weak_0006 (section=zone_buzz_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_average (section=zone_mine_electric_average, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_average_0000 (section=zone_mine_electric_average, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_average_0001 (section=zone_mine_electric_average, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_average_0002 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0003 (section=zone_mine_electric_average, gvid=2816, level=l10_red_forest)
  red_zone_mine_electric_average_0004 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0005 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0006 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0007 (section=zone_mine_electric_average, gvid=2843, level=l10_red_forest)
  red_zone_mine_electric_average_0008 (section=zone_mine_electric_average, gvid=2843, level=l10_red_forest)
  red_zone_mine_electric_average_0009 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0010 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0011 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0012 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0013 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0014 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0015 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0016 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0017 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0018 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0019 (section=zone_mine_electric_average, gvid=2825, level=l10_red_forest)
  red_zone_mine_electric_average_0020 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0021 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0022 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0023 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0024 (section=zone_mine_electric_average, gvid=2770, level=l10_red_forest)
  red_zone_mine_electric_average_0027 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0028 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0029 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0030 (section=zone_mine_electric_average, gvid=2804, level=l10_red_forest)
  red_zone_mine_electric_average_0031 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0032 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0033 (section=zone_mine_electric_average, gvid=2770, level=l10_red_forest)
  red_zone_mine_electric_average_0034 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0035 (section=zone_mine_electric_average, gvid=2804, level=l10_red_forest)
  red_zone_mine_electric_average_0036 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0037 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0038 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0039 (section=zone_mine_electric_average, gvid=2843, level=l10_red_forest)
  red_zone_mine_electric_average_0040 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0041 (section=zone_mine_electric_average, gvid=2825, level=l10_red_forest)
  red_zone_mine_electric_average_0042 (section=zone_mine_electric_average, gvid=2818, level=l10_red_forest)
  red_zone_mine_electric_average_0043 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0044 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0045 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0046 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0047 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0048 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0049 (section=zone_mine_electric_average, gvid=2829, level=l10_red_forest)
  red_zone_mine_electric_average_0050 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0051 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0052 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0053 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0054 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0055 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0056 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0057 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0058 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0059 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0060 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0061 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0062 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0063 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0064 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0065 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0066 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0067 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0068 (section=zone_mine_electric_average, gvid=2774, level=l10_red_forest)
  red_zone_mine_electric_average_0069 (section=zone_mine_electric_average, gvid=2834, level=l10_red_forest)
  red_zone_mine_electric_average_0070 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0071 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0072 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0073 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0074 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0075 (section=zone_mine_electric_average, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_average_0076 (section=zone_mine_electric_average, gvid=2792, level=l10_red_forest)
  red_zone_mine_electric_average_0077 (section=zone_mine_electric_average, gvid=2792, level=l10_red_forest)
  red_zone_mine_electric_strong (section=zone_mine_electric_strong, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_strong_0000 (section=zone_mine_electric_strong, gvid=2814, level=l10_red_forest)
  red_zone_mine_electric_strong_0001 (section=zone_mine_electric_strong, gvid=2817, level=l10_red_forest)
  red_zone_mine_electric_strong_0002 (section=zone_mine_electric_strong, gvid=2771, level=l10_red_forest)
  red_zone_mine_electric_strong_0003 (section=zone_mine_electric_strong, gvid=2787, level=l10_red_forest)
  red_zone_mine_electric_strong_0004 (section=zone_mine_electric_strong, gvid=2815, level=l10_red_forest)
  red_zone_mine_electric_strong_0005 (section=zone_mine_electric_strong, gvid=2771, level=l10_red_forest)
  red_zone_mine_electric_strong_0006 (section=zone_mine_electric_strong, gvid=2815, level=l10_red_forest)
  red_zone_mine_electric_strong_0007 (section=zone_mine_electric_strong, gvid=2771, level=l10_red_forest)
  red_zone_mine_electric_weak (section=zone_mine_electric_weak, gvid=2772, level=l10_red_forest)
  red_zone_mine_electric_weak_0001 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0002 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0003 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0004 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0005 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0006 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_electric_weak_0007 (section=zone_mine_electric_weak, gvid=2769, level=l10_red_forest)
  red_zone_mine_electric_weak_0008 (section=zone_mine_electric_weak, gvid=2769, level=l10_red_forest)
  red_zone_mine_electric_weak_0009 (section=zone_mine_electric_weak, gvid=2769, level=l10_red_forest)
  red_zone_mine_electric_weak_0010 (section=zone_mine_electric_weak, gvid=2769, level=l10_red_forest)
  red_zone_mine_electric_weak_0011 (section=zone_mine_electric_weak, gvid=2769, level=l10_red_forest)
  red_zone_mine_electric_weak_0012 (section=zone_mine_electric_weak, gvid=2812, level=l10_red_forest)
  red_zone_mine_electric_weak_0013 (section=zone_mine_electric_weak, gvid=2812, level=l10_red_forest)
  red_zone_mine_electric_weak_0014 (section=zone_mine_electric_weak, gvid=2803, level=l10_red_forest)
  red_zone_mine_electric_weak_0015 (section=zone_mine_electric_weak, gvid=2812, level=l10_red_forest)
  red_zone_mine_electric_weak_0016 (section=zone_mine_electric_weak, gvid=2812, level=l10_red_forest)
  red_zone_mine_electric_weak_0017 (section=zone_mine_electric_weak, gvid=2798, level=l10_red_forest)
  red_zone_mine_gravitational_average (section=zone_mine_gravitational_average, gvid=2773, level=l10_red_forest)
  red_zone_mine_gravitational_average_0003 (section=zone_mine_gravitational_average, gvid=2778, level=l10_red_forest)
  red_zone_mine_gravitational_average_0005 (section=zone_mine_gravitational_average, gvid=2805, level=l10_red_forest)
  red_zone_mine_gravitational_average_0006 (section=zone_mine_gravitational_average, gvid=2766, level=l10_red_forest)
  red_zone_mine_gravitational_average_0007 (section=zone_mine_gravitational_average, gvid=2808, level=l10_red_forest)
  red_zone_mine_gravitational_average_0008 (section=zone_mine_gravitational_average, gvid=2778, level=l10_red_forest)
  red_zone_mine_gravitational_average_0009 (section=zone_mine_gravitational_average, gvid=2786, level=l10_red_forest)
  red_zone_mine_gravitational_average_0010 (section=zone_mine_gravitational_average, gvid=2778, level=l10_red_forest)
  red_zone_mine_gravitational_average_0011 (section=zone_mine_gravitational_average, gvid=2778, level=l10_red_forest)
  red_zone_mine_gravitational_average_0013 (section=zone_mine_gravitational_average, gvid=2781, level=l10_red_forest)
  red_zone_mine_gravitational_average_0014 (section=zone_mine_gravitational_average, gvid=2758, level=l10_red_forest)
  red_zone_mine_gravitational_average_0015 (section=zone_mine_gravitational_average, gvid=2782, level=l10_red_forest)
